#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv3508	5	24	12	3518	1.000000
Rv3509c	19	23	1	2	0.000000
Rv3510c	12	16	2	33	0.000000
Rv3511	17	22	3	209	0.000000
Rv3512	12	28	4	338	0.036920
Rv3513c	6	6	0	0	0.000000
Rv3514	3	14	9	2345	1.000000
Rv3515c	19	21	1	2	0.000000
Rv3516	3	8	2	180	0.000000
Rv3517	10	15	3	31	0.000000
Rv3518c	4	13	4	376	0.231960
Rv3519	8	11	2	69	0.000000
Rv3520c	14	16	1	2	0.000000
Rv3521	15	16	1	2	0.000000
Rv3522	14	19	2	56	0.000000
Rv3523	13	19	2	114	0.000000
Rv3524	18	21	1	2	0.000000
Rv3525c	7	9	1	2	0.000000
Rv3526	15	22	2	44	0.000000
Rv3527	4	7	1	2	0.000000
Rv3528c	5	37	12	177	0.003660
Rv3529c	13	26	4	61	0.000000
Rv3530c	6	18	7	212	0.002020
Rv3531c	16	24	3	19	0.000000
Rv3532	19	21	1	2	0.000000
Rv3533c	12	20	4	488	0.119600
Rv3534c	8	10	1	2	0.000000
Rv3535c	10	12	1	2	0.000000
Rv3536c	6	9	1	2	0.000000
Rv3537	12	37	8	224	0.002260
Rv3538	4	13	4	100	0.000000
Rv3539	18	31	4	245	0.000300
Rv3540c	8	19	2	27	0.000000
Rv3541c	1	8	5	137	0.000000
Rv3542c	10	14	1	2	0.000000
Rv3543c	6	17	3	76	0.000000
Rv3544c	12	16	2	28	0.000000
Rv3545c	17	25	2	68	0.000000
Rv3546	5	6	1	2	0.000000
Rv3547	12	12	0	0	0.000000
Rv3548c	6	9	1	2	0.000000
Rv3549c	5	11	2	23	0.000000
Rv3550	5	6	1	2	0.000000
Rv3551	7	16	4	93	0.000000
Rv3552	4	10	2	35	0.000000
Rv3553	7	9	2	19	0.000000
Rv3554	23	31	2	248	0.000100
Rv3555c	5	12	3	135	0.000000
Rv3556c	6	16	6	505	0.708660
Rv3557c	11	16	2	34	0.000000
Rv3558	13	18	2	37	0.000000
Rv3559c	5	8	1	2	0.000000
Rv3560c	10	13	1	2	0.000000
Rv3561	10	15	2	36	0.000000
Rv3562	4	12	4	88	0.000000
Rv3563	10	11	1	2	0.000000
Rv3564	6	11	2	54	0.000000
Rv3565	4	19	9	572	0.984040
Rv3566A	1	3	1	2	-1.000000
Rv3566c	6	14	2	136	0.000000
Rv3567c	3	9	3	92	0.000000
Rv3568c	11	16	3	37	0.000000
Rv3569c	11	14	1	2	0.000000
Rv3570c	8	19	6	183	0.000000
Rv3571	10	13	1	2	0.000000
Rv3572	7	9	1	2	0.000000
Rv3573c	15	24	2	33	0.000000
Rv3574	11	14	1	2	0.000000
Rv3575c	15	19	1	2	0.000000
Rv3576	10	14	3	37	0.000000
Rv3577	9	14	2	59	0.000000
Rv3578	14	16	1	2	0.000000
Rv3579c	0	12	12	805	0.999760
Rv3580c	0	28	28	1384	1.000000
Rv3581c	0	6	6	406	0.977180
Rv3582c	0	13	13	662	0.999940
Rv3583c	1	8	7	291	0.945140
Rv3584	5	7	2	57	0.000000
Rv3585	18	22	2	176	0.000000
Rv3586	11	15	2	79	0.000000
Rv3587c	1	15	14	710	1.000000
Rv3588c	0	8	8	566	0.993780
Rv3589	11	16	2	40	0.000000
Rv3590c	14	21	3	70	0.000000
Rv3591c	10	16	2	45	0.000000
Rv3592	2	3	1	2	0.000000
Rv3593	2	19	17	1174	1.000000
Rv3594	12	16	1	2	0.000000
Rv3595c	11	15	2	29	0.000000
Rv3596c	0	30	30	2532	1.000000
Rv3597c	0	5	5	310	0.989000
Rv3598c	0	31	31	1381	1.000000
Rv3599c	1	2	1	2	-1.000000
Rv3600c	10	13	1	2	0.000000
Rv3601c	1	10	9	392	0.998180
Rv3602c	0	13	13	857	0.999900
Rv3603c	0	12	12	770	0.999860
Rv3604c	1	15	14	940	0.999960
Rv3605c	6	7	1	2	0.000000
Rv3606c	2	7	5	286	0.491940
Rv3607c	1	7	6	324	0.985660
Rv3608c	1	9	8	531	0.985300
Rv3609c	0	12	12	497	0.999880
Rv3610c	6	34	14	1204	0.999980
Rv3611	1	2	1	2	-1.000000
Rv3612c	2	2	0	0	-1.000000
Rv3613c	1	1	0	0	-1.000000
Rv3614c	6	8	2	34	0.000000
Rv3615c	9	11	1	2	0.000000
Rv3616c	13	19	2	115	0.000000
Rv3617	16	19	1	2	0.000000
Rv3618	16	22	2	16	0.000000
Rv3621c	10	14	1	2	0.000000
Rv3622c	5	5	0	0	0.000000
Rv3623	6	7	1	2	0.000000
Rv3624c	2	12	10	521	0.999060
Rv3625c	0	9	9	926	0.997880
Rv3626c	7	11	3	193	0.000000
Rv3627c	0	14	14	1259	0.999960
Rv3628	1	10	9	349	0.997960
Rv3629c	15	17	1	2	0.000000
Rv3630	15	24	2	95	0.000000
Rv3631	3	6	2	366	0.168660
Rv3632	7	8	1	2	0.000000
Rv3633	13	18	2	19	0.000000
Rv3634c	0	20	20	874	1.000000
Rv3635	1	26	25	1640	1.000000
Rv3636	6	6	0	0	0.000000
Rv3637	4	5	1	2	0.000000
Rv3638	6	13	4	78	0.000000
Rv3639c	4	8	3	98	0.000000
Rv3640c	14	18	1	2	0.000000
Rv3641c	9	10	1	2	0.000000
Rv3642c	2	3	1	2	-1.000000
Rv3643	8	8	0	0	0.000000
Rv3644c	1	17	16	1180	1.000000
Rv3645	2	26	24	1583	1.000000
Rv3646c	0	52	52	2586	1.000000
Rv3647c	4	10	6	326	0.900900
Rv3648c	0	4	4	119	-1.000000
Rv3649	19	32	4	197	0.000000
Rv3650	0	3	3	211	0.960300
Rv3651	11	14	2	183	0.000000
Rv3652	6	6	0	0	0.000000
Rv3653	3	6	1	2	0.000000
Rv3654c	0	1	1	2	-1.000000
Rv3655c	4	7	2	20	0.000000
Rv3656c	4	5	1	2	0.000000
Rv3657c	6	8	1	2	0.000000
Rv3658c	6	10	2	52	0.000000
Rv3659c	4	6	1	2	0.000000
Rv3660c	4	9	4	442	0.380880
Rv3661	13	17	2	13	0.000000
Rv3662c	2	4	1	2	0.000000
Rv3663c	13	25	5	286	0.048560
Rv3664c	6	14	6	318	0.800500
Rv3665c	7	17	8	362	0.953100
Rv3666c	7	23	7	264	0.065280
Rv3667	25	40	5	77	0.000000
Rv3668c	6	9	2	37	0.000000
Rv3669	2	5	3	90	0.000000
Rv3670	0	16	16	754	0.999980
Rv3671c	0	15	15	1136	1.000000
Rv3672c	7	10	1	2	0.000000
Rv3673c	0	7	7	561	0.982720
Rv3674c	8	12	3	35	0.000000
Rv3675	3	7	3	75	0.000000
Rv3676	1	3	2	66	0.000000
Rv3677c	9	12	1	2	0.000000
Rv3678A	3	3	0	0	-1.000000
Rv3678c	6	9	2	34	0.000000
Rv3679	8	15	3	138	0.000000
Rv3680	10	20	3	111	0.000000
Rv3681c	5	8	1	2	0.000000
Rv3682	20	38	5	262	0.002260
Rv3683	11	11	0	0	0.000000
Rv3684	11	18	2	143	0.000000
Rv3685c	12	20	2	16	0.000000
Rv3686c	5	7	1	2	0.000000
Rv3687c	4	6	1	2	0.000000
Rv3688c	7	8	1	2	0.000000
Rv3689	25	34	2	11	0.000000
Rv3690	8	11	1	2	0.000000
Rv3691	13	15	2	42	0.000000
Rv3692	12	16	2	18	0.000000
Rv3693	8	17	4	128	0.000000
Rv3694c	6	15	3	97	0.000000
Rv3695	4	11	6	722	0.899000
Rv3696c	2	30	15	703	0.999940
Rv3697c	9	9	0	0	0.000000
Rv3698	21	36	2	12	0.000000
Rv3699	9	13	1	2	0.000000
Rv3700c	7	14	4	156	0.000000
Rv3701c	4	15	5	350	0.572660
Rv3702c	3	8	4	217	0.000180
Rv3703c	12	18	1	2	0.000000
Rv3704c	11	13	1	2	0.000000
Rv3705A	3	5	1	2	0.000000
Rv3705c	7	9	1	2	0.000000
Rv3706c	2	4	1	2	0.000000
Rv3707c	14	16	1	2	0.000000
Rv3708c	0	10	10	960	0.999300
Rv3709c	0	15	15	1244	1.000000
Rv3710	1	30	29	1732	1.000000
Rv3711c	13	15	1	2	0.000000
Rv3712	0	11	11	1192	0.999840
Rv3713	1	11	10	642	0.998920
Rv3714c	12	13	1	2	0.000000
Rv3715c	2	4	1	2	0.000000
Rv3716c	3	4	1	2	-1.000000
Rv3717	8	13	2	62	0.000000
Rv3718c	3	5	1	2	0.000000
Rv3719	13	39	5	152	0.000000
Rv3720	12	33	9	376	0.955740
Rv3721c	1	26	25	1569	1.000000
Rv3722c	2	31	29	1183	1.000000
Rv3723	7	10	2	85	0.000000
Rv3724A	4	4	0	0	0.000000
Rv3724B	11	16	2	26	0.000000
Rv3725	12	14	1	2	0.000000
Rv3726	12	16	1	2	0.000000
Rv3727	34	39	2	85	0.000000
Rv3728	25	32	1	2	0.000000
Rv3729	24	29	3	84	0.000000
Rv3730c	17	21	3	190	0.000000
Rv3731	16	19	1	2	0.000000
Rv3732	15	17	1	2	0.000000
Rv3733c	3	4	1	2	0.000000
Rv3734c	19	19	0	0	0.000000
Rv3735	6	6	0	0	0.000000
Rv3736	20	23	1	2	0.000000
Rv3737	9	18	3	50	0.000000
Rv3738c	15	18	1	2	0.000000
Rv3739c	3	7	3	11	-1.000000
Rv3740c	19	20	1	2	0.000000
Rv3741c	8	9	1	2	0.000000
Rv3742c	4	6	1	2	0.000000
Rv3743c	25	31	2	9	0.000000
Rv3744	8	8	0	0	0.000000
Rv3745c	1	2	1	2	-1.000000
Rv3746c	5	6	1	2	0.000000
Rv3747	5	7	2	46	0.000000
Rv3748	5	6	1	2	0.000000
Rv3749c	11	13	2	10	0.000000
Rv3750c	6	6	0	0	0.000000
Rv3751	1	1	0	0	-1.000000
Rv3752c	0	2	2	133	-1.000000
Rv3753c	0	5	5	352	0.968800
Rv3754	1	14	13	832	0.999940
Rv3755c	8	11	2	30	0.000000
Rv3756c	13	17	1	2	0.000000
Rv3757c	9	13	3	41	0.000000
Rv3758c	10	16	3	138	0.000000
Rv3759c	7	14	3	248	0.000600
Rv3760	4	6	2	49	0.000000
Rv3761c	11	17	2	27	0.000000
Rv3762c	20	30	1	2	0.000000
Rv3763	5	9	2	60	0.000000
Rv3764c	1	17	16	1285	1.000000
Rv3765c	11	14	1	2	0.000000
Rv3766	10	16	3	74	0.000000
Rv3767c	9	16	3	60	0.000000
Rv3768	10	12	1	2	0.000000
Rv3769	1	1	0	0	-1.000000
Rv3770A	2	3	1	2	-1.000000
Rv3770B	3	4	1	2	0.000000
Rv3770c	8	9	1	2	0.000000
Rv3771c	0	2	2	93	-1.000000
Rv3772	10	18	3	54	0.000000
Rv3773c	6	8	1	2	0.000000
Rv3774	13	14	1	2	0.000000
Rv3775	21	24	1	2	0.000000
Rv3776	17	24	3	292	0.012960
Rv3777	13	16	2	54	0.000000
Rv3778c	0	17	17	1185	1.000000
Rv3779	29	48	4	118	0.000000
Rv3780	1	9	8	507	0.992500
Rv3781	0	14	14	757	0.999980
Rv3782	0	18	18	810	1.000000
Rv3783	2	12	10	698	0.998240
Rv3784	27	29	2	14	0.000000
Rv3785	11	14	1	2	0.000000
Rv3786c	17	23	2	13	0.000000
Rv3787c	8	10	1	2	0.000000
Rv3788	7	7	0	0	0.000000
Rv3789	1	8	7	270	0.993200
Rv3790	2	28	26	1324	1.000000
Rv3791	0	12	12	691	0.999740
Rv3792	1	33	32	1733	1.000000
Rv3793	3	53	48	3156	1.000000
Rv3794	2	55	30	1748	1.000000
Rv3795	1	50	49	2919	1.000000
Rv3796	20	25	1	2	0.000000
Rv3797	21	26	2	8	0.000000
Rv3798	1	3	2	610	0.242840
Rv3799c	1	18	17	1377	1.000000
Rv3800c	0	58	58	5180	1.000000
Rv3801c	0	24	24	1823	1.000000
Rv3802c	2	24	22	933	1.000000
Rv3803c	10	17	3	129	0.000000
Rv3804c	3	15	8	409	0.960100
Rv3805c	1	40	39	1687	1.000000
Rv3806c	0	19	19	773	1.000000
Rv3807c	2	4	1	2	0.000000
Rv3808c	0	29	29	1748	1.000000
Rv3809c	0	33	33	998	1.000000
Rv3810	2	14	12	636	0.999780
Rv3811	19	26	2	92	0.000000
Rv3812	24	29	1	2	0.000000
Rv3813c	8	13	2	85	0.000000
Rv3814c	9	11	1	2	0.000000
Rv3815c	11	15	1	2	0.000000
Rv3816c	4	14	5	230	0.001060
Rv3817	7	9	1	2	0.000000
Rv3818	8	32	10	407	0.981660
Rv3819	6	8	1	2	0.000000
Rv3820c	26	44	8	193	0.000080
Rv3821	11	19	3	67	0.000000
Rv3822	25	40	3	166	0.000000
Rv3823c	22	79	19	423	0.999940
Rv3824c	27	47	5	51	0.000000
Rv3825c	94	117	2	122	0.000000
Rv3826	16	51	7	228	0.000580
Rv3827c	12	18	2	17	0.000000
Rv3828c	5	8	2	87	0.000000
Rv3829c	26	33	2	11	0.000000
Rv3830c	7	11	2	201	0.000000
Rv3831	10	12	1	2	0.000000
Rv3832c	7	9	2	95	0.000000
Rv3833	8	11	1	2	0.000000
Rv3834c	0	23	23	1161	1.000000
Rv3835	11	16	2	23	0.000000
Rv3836	5	7	2	22	0.000000
Rv3837c	7	10	2	107	0.000000
Rv3838c	1	13	12	882	0.999820
Rv3839	14	17	2	36	0.000000
Rv3840	11	11	0	0	0.000000
Rv3841	3	10	4	52	0.000000
Rv3842c	10	13	2	66	0.000000
Rv3843c	5	18	6	226	0.001320
Rv3845	3	5	1	2	0.000000
Rv3846	0	14	14	606	1.000000
Rv3847	5	8	1	2	0.000000
Rv3848	5	9	2	122	0.000000
Rv3849	5	10	1	2	0.000000
Rv3850	4	6	2	17	0.000000
Rv3851	2	3	1	2	-1.000000
Rv3852	4	4	0	0	0.000000
Rv3853	2	4	2	176	0.000020
Rv3854c	25	31	1	2	0.000000
Rv3855	11	12	1	2	0.000000
Rv3856c	8	12	3	142	0.000000
Rv3857c	3	3	0	0	-1.000000
Rv3858c	0	15	15	1439	1.000000
Rv3859c	0	79	79	4491	1.000000
Rv3860	10	14	2	124	0.000000
Rv3861	0	1	1	2	-1.000000
Rv3862c	5	6	1	2	0.000000
Rv3863	6	17	8	608	0.969540
Rv3864	2	18	12	401	0.999460
Rv3865	5	9	3	49	0.000000
Rv3866	10	12	1	2	0.000000
Rv3867	6	7	1	2	0.000000
Rv3868	19	31	3	67	0.000000
Rv3869	23	29	2	125	0.000000
Rv3870	27	38	4	166	0.000000
Rv3871	21	26	1	2	0.000000
Rv3872	2	2	0	0	-1.000000
Rv3873	10	12	1	2	0.000000
Rv3874	2	5	1	2	0.000000
Rv3875	1	5	4	158	0.001960
Rv3876	24	25	1	2	0.000000
Rv3877	23	28	3	120	0.000000
Rv3878	4	6	2	410	0.138420
Rv3879c	28	38	3	41	0.000000
Rv3880c	4	5	1	2	0.000000
Rv3881c	14	23	2	68	0.000000
Rv3882c	21	24	2	23	0.000000
Rv3883c	15	17	1	2	0.000000
Rv3884c	20	34	5	226	0.000120
Rv3885c	17	28	3	164	0.000000
Rv3886c	17	27	3	87	0.000000
Rv3887c	21	32	4	48	0.000000
Rv3888c	13	29	10	213	0.013160
Rv3889c	12	19	4	203	0.000000
Rv3890c	5	6	1	2	0.000000
Rv3891c	3	9	3	48	0.000000
Rv3892c	9	11	1	2	0.000000
Rv3893c	3	3	0	0	-1.000000
Rv3894c	38	52	2	22	0.000000
Rv3895c	13	14	1	2	0.000000
Rv3896c	12	15	2	81	0.000000
Rv3897c	7	8	1	2	0.000000
Rv3898c	7	7	0	0	0.000000
Rv3899c	12	18	3	190	0.000000
Rv3900c	9	17	4	72	0.000000
Rv3901c	10	14	2	11	0.000000
Rv3902c	0	27	27	523	1.000000
Rv3903c	28	51	5	73	0.000000
Rv3904c	2	3	1	2	0.000000
Rv3905c	5	5	0	0	0.000000
Rv3906c	10	11	1	2	0.000000
Rv3907c	1	20	19	1337	1.000000
Rv3908	4	11	5	137	0.000000
Rv3909	0	41	41	2318	1.000000
Rv3910	11	54	34	1439	1.000000
Rv3911	9	12	1	2	0.000000
Rv3912	6	11	2	17	0.000000
Rv3913	2	18	16	869	0.999960
Rv3914	1	6	5	266	0.692100
Rv3915	1	25	24	1113	1.000000
Rv3916c	2	12	5	281	0.161720
Rv3917c	1	19	18	876	1.000000
Rv3918c	1	19	18	912	1.000000
Rv3919c	8	13	2	8	0.000000
Rv3920c	4	4	0	0	0.000000
Rv3921c	1	23	22	865	1.000000
Rv3922c	3	12	7	105	0.000060
Rv3923c	1	4	3	71	0.000000
Rv3924c	0	2	2	12	-1.000000
