hUMAP_x	hUMAP_y	gene_names
7.8570404	3.690053	Rv0729
13.269905	8.420922	Rv0730
6.41213	3.2888863	Rv0731c
13.49994	12.337999	Rv0732
18.019688	9.882414	Rv0733
11.437495	1.3910158	Rv0734
13.318108	3.8331962	Rv0735
16.80787	-0.42017663	Rv0736
11.330849	-2.6941483	Rv0737
9.743596	-0.9741157	Rv0738
10.011865	4.044121	Rv0739
4.8553104	-1.3007896	Rv0740
11.1080885	6.4867096	Rv0741
3.4641893	5.6717267	Rv0742
7.2945127	2.038212	Rv0743c
16.13851	-3.1959696	Rv0744c
7.2304535	-2.1059117	Rv0745
3.3237777	6.00801	Rv0746
3.8402479	5.334385	Rv0747
11.420549	4.3087506	Rv0748
13.057484	0.28600633	Rv0749
13.249886	0.86503303	Rv0749A
13.658985	-2.1281128	Rv0750
12.772631	6.83858	Rv0751c
4.4593344	6.1680307	Rv0752c
8.692152	4.441477	Rv0753c
14.108923	5.484559	Rv0754
7.43233	4.3830223	Rv0755A
12.86853	-1.477877	Rv0755c
10.598606	3.2624824	Rv0756c
8.7376795	18.866322	Rv0757
8.640602	18.771559	Rv0758
5.7526536	8.506743	Rv0759c
8.31133	-0.016424868	Rv0760c
5.89226	7.216915	Rv0761c
12.337434	2.2933056	Rv0762c
14.097818	-2.2179961	Rv0763c
7.8725576	4.4700375	Rv0764c
11.343267	2.7748542	Rv0765c
11.432892	0.7613041	Rv0766c
5.590201	3.4905849	Rv0767c
10.998114	5.6144457	Rv0768
5.276624	-6.538552	Rv0769
11.790765	-0.5224339	Rv0770
11.369824	-3.5323808	Rv0771
18.886555	11.975713	Rv0772
6.9050293	1.4004656	Rv0773c
9.789458	2.4612365	Rv0774c
12.174522	2.1972404	Rv0775
8.886925	6.7258797	Rv0776c
9.6257715	-3.4434352	Rv0777
12.13091	-0.7035441	Rv0778
10.96818	-0.25078034	Rv0779c
18.914705	11.935036	Rv0780
9.731436	1.6984113	Rv0781
12.613808	-2.799028	Rv0782
8.635594	1.7010244	Rv0783c
