Rv_ID,sanger_level_II
Rv1120c,V - Conserved hypotheticals
Rv1126c,V - UNKNOWN FUNCTION
Rv1130,V - Conserved hypotheticals
Rv1138c,V - Conserved hypotheticals
Rv1139c,V - UNKNOWN FUNCTION
Rv1140,V - UNKNOWN FUNCTION
Rv1157c,V - UNKNOWN FUNCTION
Rv1158c,V - UNKNOWN FUNCTION
Rv1165,V - Conserved hypotheticals
Rv1173,V - Conserved hypotheticals
Rv1176c,V - Conserved hypotheticals
Rv1184c,V - UNKNOWN FUNCTION
Rv1190,V - UNKNOWN FUNCTION
Rv1191,V - UNKNOWN FUNCTION
Rv1194c,V - Conserved hypotheticals
Rv1197,V - Conserved hypotheticals
Rv1198,V - Conserved hypotheticals
Rv1201c,V - Conserved hypotheticals
Rv1204c,V - UNKNOWN FUNCTION
Rv1205,V - UNKNOWN FUNCTION
Rv1208,V - Conserved hypotheticals
Rv1209,V - UNKNOWN FUNCTION
Rv1211,V - UNKNOWN FUNCTION
Rv1215c,V - UNKNOWN FUNCTION
Rv1216c,V - Conserved hypotheticals
Rv1224,V - Conserved hypotheticals
Rv1225c,V - Conserved hypotheticals
Rv1229c,V - Conserved hypotheticals
Rv1241,V - Conserved hypotheticals
Rv1242,V - Conserved hypotheticals
Rv1246c,V - Conserved hypotheticals
Rv1247c,V - Conserved hypotheticals
Rv1261c,V - UNKNOWN FUNCTION
Rv1262c,V - UNKNOWN FUNCTION
Rv1269c,V - UNKNOWN FUNCTION
Rv1271c,V - UNKNOWN FUNCTION
Rv1284,V - Conserved hypotheticals
Rv1287,V - Conserved hypotheticals
Rv1288,V - UNKNOWN FUNCTION
Rv1291c,V - UNKNOWN FUNCTION
Rv1301,V - Conserved hypotheticals
Rv1303,V - UNKNOWN FUNCTION
Rv1312,V - UNKNOWN FUNCTION
Rv1314c,V - UNKNOWN FUNCTION
Rv1321,V - Conserved hypotheticals
Rv1330c,V - Conserved hypotheticals
Rv1331,V - UNKNOWN FUNCTION
Rv1334,V - Conserved hypotheticals
Rv1335,V - Conserved hypotheticals
Rv1337,V - UNKNOWN FUNCTION
Rv1339,V - UNKNOWN FUNCTION
Rv1341,V - Conserved hypotheticals
Rv1343c,V - Conserved hypotheticals
Rv1352,V - UNKNOWN FUNCTION
Rv1354c,V - Conserved hypotheticals
Rv1357c,V - Conserved hypotheticals
Rv1362c,V - UNKNOWN FUNCTION
Rv1363c,V - UNKNOWN FUNCTION
Rv1365c,V - Conserved hypotheticals
Rv1375,V - UNKNOWN FUNCTION
Rv1376,V - UNKNOWN FUNCTION
Rv1378c,V - Conserved hypotheticals
Rv1397c,V - Conserved hypotheticals
Rv1398c,V - Conserved hypotheticals
Rv1421,V - UNKNOWN FUNCTION
Rv1422,V - UNKNOWN FUNCTION
Rv1425,V - Conserved hypotheticals
Rv1428c,V - Conserved hypotheticals
Rv1429,V - Conserved hypotheticals
Rv1435c,V - UNKNOWN FUNCTION
Rv1453,V - Conserved hypotheticals
Rv1455,V - UNKNOWN FUNCTION
Rv1459c,V - UNKNOWN FUNCTION
Rv1461,V - Conserved hypotheticals
Rv1462,V - Conserved hypotheticals
Rv1465,V - Conserved hypotheticals
Rv1466,V - UNKNOWN FUNCTION
Rv1480,V - UNKNOWN FUNCTION
Rv1482c,V - UNKNOWN FUNCTION
Rv1486c,V - UNKNOWN FUNCTION
Rv1487,V - Conserved hypotheticals
Rv1488,V - Conserved hypotheticals
Rv1495,V - Conserved hypotheticals
Rv1496,V - Conserved hypotheticals
Rv1501,V - Conserved hypotheticals
Rv1503c,V - Conserved hypotheticals
Rv1504c,V - Conserved hypotheticals
Rv1505c,V - UNKNOWN FUNCTION
Rv1513,V - UNKNOWN FUNCTION
Rv1515c,V - UNKNOWN FUNCTION
Rv1517,V - UNKNOWN FUNCTION
Rv1519,V - UNKNOWN FUNCTION
Rv1531,V - UNKNOWN FUNCTION
Rv1532c,V - Conserved hypotheticals
Rv1540,V - Conserved hypotheticals
Rv1546,V - UNKNOWN FUNCTION
Rv1558,V - UNKNOWN FUNCTION
Rv1560,V - Conserved hypotheticals
Rv1561,V - Conserved hypotheticals
Rv1571,V - UNKNOWN FUNCTION
Rv1572c,V - UNKNOWN FUNCTION
Rv1590,V - UNKNOWN FUNCTION
Rv1591,V - UNKNOWN FUNCTION
Rv1592c,V - UNKNOWN FUNCTION
Rv1593c,V - Conserved hypotheticals
Rv1598c,V - UNKNOWN FUNCTION
Rv1616,V - UNKNOWN FUNCTION
Rv1619,V - UNKNOWN FUNCTION
Rv1628c,V - UNKNOWN FUNCTION
Rv1631,V - Conserved hypotheticals
Rv1636,V - Conserved hypotheticals
Rv1637c,V - UNKNOWN FUNCTION
Rv1639c,V - UNKNOWN FUNCTION
Rv1645c,V - UNKNOWN FUNCTION
Rv1647,V - Conserved hypotheticals
Rv1670,V - UNKNOWN FUNCTION
Rv1673c,V - Conserved hypotheticals
Rv1682,V - UNKNOWN FUNCTION
Rv1684,V - UNKNOWN FUNCTION
Rv1685c,V - Conserved hypotheticals
Rv1695,V - Conserved hypotheticals
Rv1697,V - UNKNOWN FUNCTION
