Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv0152c,Rv2267c,Rv0821c,Rv1365c,Rv2852c,Rv3146,Rv0445c,Rv2962c,Rv1328,Rv1468c,Rv3821
Rv0153c,Rv0079,Rv1699,Rv1330c,Rv3389c,Rv0886,Rv3791,Rv0503c,Rv0382c,Rv1202,Rv1605
Rv0154c,Rv1131,Rv1202,Rv2150c,Rv2173,Rv2916c,Rv0079,Rv1611,Rv2453c,Rv0153c,Rv0503c
Rv0155,Rv1638,Rv0903c,Rv3722c,Rv0352,Rv2097c,Rv0490,Rv1106c,Rv1496,Rv3273,Rv2115c
Rv0156,Rv3910,Rv2034,Rv1963c,Rv0712,Rv3545c,Rv1492,Rv0256c,Rv3534c,Rv0009,Rv3823c
Rv0157,Rv2097c,Rv1638,Rv0490,Rv2151c,Rv2977c,Rv2524c,Rv1280c,Rv3722c,Rv3908,Rv0903c
Rv0157A,Rv0414c,Rv1364c,Rv1560,Rv2713,Rv3043c,Rv0116c,Rv2032,Rv3547,Rv0583c,Rv3628
Rv0158,Rv3419c,Rv1205,Rv1239c,Rv0413,Rv1386,Rv0932c,Rv0931c,Rv1222,Rv0645c,Rv2187
Rv0159c,Rv0516c,Rv0447c,Rv0676c,Rv2590,Rv3824c,Rv0598c,Rv1747,Rv3469c,Rv2029c,Rv1760
Rv0160c,Rv1297,Rv2501c,Rv1552,Rv3825c,Rv1651c,Rv2351c,Rv1690,Rv2349c,Rv2914c,Rv2296
Rv0161,Rv2103c,Rv1857,Rv1253,Rv2010,Rv3405c,Rv0734,Rv2234,Rv2602,Rv1739c,Rv1207
Rv0162c,Rv2416c,Rv3124,Rv0342,Rv0505c,Rv0848,Rv0445c,Rv2218,Rv2852c,Rv3297,Rv0980c
Rv0163,Rv0295c,Rv0297,Rv1497,Rv1029,Rv3088,Rv0533c,Rv2952,Rv1173,Rv3153,Rv1129c
Rv0164,Rv1857,Rv2103c,Rv2010,Rv3405c,Rv1253,Rv0734,Rv2234,Rv1207,Rv2602,Rv3416
Rv0165c,Rv2407,Rv1317c,Rv2958c,Rv0233,Rv1344,Rv2911,Rv1746,Rv2436,Rv0182c,Rv0148
Rv0166,Rv1213,Rv0103c,Rv1151c,Rv3406,Rv0183,Rv3158,Rv1032c,Rv3232c,Rv0535,Rv2191
Rv0167,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv3545c,Rv1963c,Rv2938,Rv3875
Rv0168,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv2938,Rv3571,Rv2936,Rv3545c,Rv2937
Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv3545c,Rv2938,Rv2936,Rv2937,Rv1963c
Rv0170,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv2938,Rv3545c,Rv2936,Rv2937
Rv0171,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv2938,Rv3545c,Rv2936,Rv2937
Rv0172,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv2938,Rv3571,Rv3545c,Rv2936,Rv2937
Rv0173,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv3545c,Rv1963c,Rv2938,Rv2936
Rv0174,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv2938,Rv3545c,Rv2936,Rv2937
Rv0175,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv2938,Rv3545c,Rv2936,Rv2937
Rv0176,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv2938,Rv2936,Rv2937,Rv3571,Rv3545c
Rv0177,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv3571,Rv2938,Rv3545c,Rv2936,Rv2937
Rv0178,Rv0169,Rv3537,Rv3881c,Rv3570c,Rv3534c,Rv2938,Rv3571,Rv3545c,Rv2936,Rv2937
Rv0179c,Rv1288,Rv0853c,Rv2801A,Rv1077,Rv2482c,Rv3379c,Rv0032,Rv1433,Rv2388c,Rv0813c
Rv0180c,Rv2986c,Rv3465,Rv0733,Rv3032,Rv0824c,Rv3914,Rv0288,Rv3443c,Rv2882c,Rv3923c
Rv0181c,Rv3842c,Rv0475,Rv1955,Rv1212c,Rv0823c,Rv1302,Rv3404c,Rv0888,Rv0668,Rv2118c
Rv0182c,Rv2429,Rv0233,Rv3133c,Rv2958c,Rv3089,Rv1317c,Rv2407,Rv0148,Rv2006,NONE
Rv0183,Rv3158,Rv1151c,Rv1213,Rv0103c,Rv2191,Rv2450c,Rv3406,Rv1032c,Rv3232c,Rv0535
Rv0184,Rv1317c,Rv2407,Rv2911,Rv1344,Rv2436,Rv2958c,Rv0233,Rv0182c,Rv1746,Rv2429
Rv0185,Rv0987,Rv3364c,Rv1859,Rv1872c,Rv0969,Rv0858c,Rv0277c,NONE,NONE,NONE
Rv0186,Rv3392c,Rv3145,Rv0848,Rv0980c,Rv3151,Rv3150,Rv2416c,Rv1743,Rv3148,Rv1372
Rv0186Ac,Rv2211c,Rv2593c,Rv2068c,Rv0813c,Rv2783c,Rv1433,Rv1992c,Rv3330,Rv1288,Rv1079
